,Cidades,Geocode
0,SORRISO,5107925.0
1,BAURU,3506003.0
2,RIO DE JANEIRO,3304557.0
3,GOIÂNIA,5208707.0
4,ARACAJU,2800308.0
5,BELÉM,1501402.0
6,BELO HORIZONTE,3106200.0
7,CURITIBA,4106902.0
8,BRASÍLIA,5300108.0
9,BOA VISTA,1400100.0
10,BARRA DO GARÇAS,5101803.0
11,CASCAVEL,2303501.0
12,CABO FRIO,3300704.0
13,CAMPO GRANDE,2701506.0
14,CHAPECÓ,4204202.0
15,PARAUAPEBAS,1505536.0
16,CALDAS NOVAS,5204508.0
17,PORTO ALEGRE,4314902.0
18,CORUMBÁ,5003207.0
19,CAXIAS DO SUL,4305108.0
20,CUIABÁ,5103403.0
21,CRUZEIRO DO SUL,1200203.0
22,BONITO,1501600.0
23,PRESIDENTE PRUDENTE,3541406.0
24,DOURADOS,5003702.0
25,MANAUS,1302603.0
26,FOZ DO IGUAÇU,4108304.0
27,FLORIANÓPOLIS,4205407.0
28,FERNANDO DE NORONHA,2605459.0
29,FORTALEZA,2304400.0
30,SÃO PAULO,3550308.0
31,PONTA GROSSA,4119905.0
32,GUARAPUAVA,4109401.0
33,ALTAMIRA,1500602.0
34,ITAITUBA,1503606.0
35,ILHÉUS,2913606.0
36,IMPERATRIZ,2105302.0
37,JAGUARUNA,4208807.0
38,JIJOCA DE JERICOACOARA,2307254.0
39,JUIZ DE FORA,3136702.0
40,JI-PARANÁ,1100122.0
41,JOÃO PESSOA,2507507.0
42,JUAZEIRO DO NORTE,2307304.0
43,JOINVILLE,4209102.0
44,CAMPINA GRANDE,2504009.0
45,LENÇÓIS,2919306.0
46,LAGES,4209300.0
47,LONDRINA,4113700.0
48,MARABÁ,1504208.0
49,MACAÉ,3302403.0
50,MARINGÁ,4115200.0
51,MONTES CLAROS,3143302.0
52,MACEIÓ,2704302.0
53,MACAPÁ,1600303.0
54,MOSSORÓ,2408003.0
55,ITAJAÍ,4208203.0
56,NATAL,2408102.0
57,PARNAÍBA,2207702.0
58,PASSO FUNDO,4314100.0
59,PALMAS,1721000.0
60,PETROLINA,2611101.0
61,PORTO SEGURO,2925303.0
62,PORTO VELHO,1100205.0
63,VITÓRIA DA CONQUISTA,2933307.0
64,RIO BRANCO,1200401.0
65,RONDONÓPOLIS,5107602.0
66,RECIFE,2611606.0
67,RIBEIRÃO PRETO,3543402.0
68,SÃO JOSÉ DOS CAMPOS,3549904.0
69,SÃO LUÍS,2111300.0
70,SANTARÉM,1506807.0
71,SÃO JOSÉ DO RIO PRETO,3549805.0
72,SALVADOR,2927408.0
73,ORIXIMINÁ,1505304.0
74,TERESINA,2211001.0
75,TEFÉ,1304203.0
76,TRÊS LAGOAS,5008305.0
77,PAULO AFONSO,2924009.0
78,UBERLÂNDIA,3170206.0
79,UBERABA,3170107.0
80,VARGINHA,3170701.0
81,VILHENA,1100304.0
82,SERRA,3205002.0
83,ANGRA DOS REIS,3300100.0
84,ARACATI,2301109.0
85,BARREIRAS,2903201.0
86,FEIRA DE SANTANA,2910800.0
87,TEIXEIRA DE FREITAS,2931350.0
88,PATOS,2510808.0
89,CONCEIÇÃO DO ALMEIDA,2908309.0
90,CACOAL,1100049.0
91,ARAGUAÍNA,1702109.0
92,LÁBREA,1302405.0
93,RIO VERDE,5218805.0
94,PARINTINS,1303403.0
95,SINOP,5107909.0
