,Cidades,Geocode
0,Porto Velho,1100205.0
1,Cruzeiro do Sul,1200203.0
2,Marechal Thaumaturgo,1200351.0
3,Porto Walter,1200393.0
4,Alvarães,1300029.0
5,Amaturá,1300060.0
6,Anamã,1300086.0
7,Anori,1300102.0
8,Autazes,1300300.0
9,Barcelos,1300409.0
10,Barreirinha,1300508.0
11,Benjamin Constant,1300607.0
12,Beruri,1300631.0
13,Boa Vista do Ramos,1300680.0
14,Borba,1300805.0
15,Caapiranga,1300839.0
16,Canutama,1300904.0
17,Carauari,1301001.0
18,Careiro da Várzea,1301159.0
19,Coari,1301209.0
20,Codajás,1301308.0
21,Fonte Boa,1301605.0
22,Humaitá,1301704.0
23,Ipixuna,1301803.0
24,Iranduba,1301852.0
25,Itacoatiara,1301902.0
26,Itapiranga,1302009.0
27,Japurá,1302108.0
28,Juruá,1302207.0
29,Jutaí,1302306.0
30,Lábrea,1302405.0
31,Manacapuru,1302504.0
32,Manaquiri,1302553.0
33,Manaus,1302603.0
34,Manicoré,1302702.0
35,Maraã,1302801.0
36,Maués,1302900.0
37,Nhamundá,1303007.0
38,Nova Olinda do Norte,1303106.0
39,Novo Airão,1303205.0
40,Novo Aripuanã,1303304.0
41,Parintins,1303403.0
42,Santa Isabel do Rio Negro,1303601.0
43,Santo Antônio do Içá,1303700.0
44,São Gabriel da Cachoeira,1303809.0
45,São Paulo de Olivença,1303908.0
46,São Sebastião do Uatumã,1303957.0
47,Tabatinga,1304062.0
48,Tapauá,1304104.0
49,Tefé,1304203.0
50,Tonantins,1304237.0
51,Uarini,1304260.0
52,Urucará,1304302.0
53,Urucurituba,1304401.0
54,Abaetetuba,1500107.0
55,Acará,1500206.0
56,Afuá,1500305.0
57,Alenquer,1500404.0
58,Almeirim,1500503.0
59,Altamira,1500602.0
60,Anajás,1500701.0
61,Aveiro,1501006.0
62,Bagre,1501105.0
63,Baião,1501204.0
64,Barcarena,1501303.0
65,Belém,1501402.0
66,Breves,1501808.0
67,Cachoeira do Arari,1502004.0
68,Cametá,1502103.0
69,Chaves,1502509.0
70,Curralinho,1502806.0
71,Curuá,1502855.0
72,Faro,1503002.0
73,Gurupá,1503101.0
74,Itaituba,1503606.0
75,Juruti,1503903.0
76,Limoeiro do Ajuru,1504000.0
77,Marabá,1504208.0
78,Melgaço,1504505.0
79,Mocajuba,1504604.0
80,Monte Alegre,1504802.0
81,Muaná,1504901.0
82,Óbidos,1505106.0
83,Oeiras do Pará,1505205.0
84,Oriximiná,1505304.0
85,Ponta de Pedras,1505700.0
86,Portel,1505809.0
87,Porto de Moz,1505908.0
88,Prainha,1506005.0
89,Salvaterra,1506302.0
90,Santa Cruz do Arari,1506401.0
91,Santarém,1506807.0
92,São Sebastião da Boa Vista,1507706.0
93,Senador José Porfírio,1507805.0
94,Soure,1507904.0
95,Terra Santa,1507979.0
96,Tucumã,1508084.0
97,Tucuruí,1508100.0
98,Viseu,1508308.0
99,Vitória do Xingu,1508357.0
100,Laranjal do Jari,1600279.0
101,Macapá,1600303.0
102,Santana,1600600.0
103,Vitória do Jari,1600808.0
104,Itaguatins,1710706.0
105,Alcântara,2100204.0
106,Carutapera,2102903.0
107,Humberto de Campos,2105005.0
108,Icatu,2105104.0
109,Imperatriz,2105302.0
110,Primeira Cruz,2109403.0
111,São José de Ribamar,2111201.0
112,São Luís,2111300.0
113,Areia Branca,2401107.0
114,Grossos,2404408.0
115,Penedo,2706703.0
116,Piaçabuçu,2706802.0
117,Porto Real do Colégio,2707503.0
118,Traipu,2709202.0
119,Brejo Grande,2800704.0
120,Gararu,2802403.0
121,Propriá,2805703.0
122,Santana do São Francisco,2806404.0
123,Itaparica,2916104.0
124,Pilão Arcado,2924405.0
125,Remanso,2926004.0
126,Salvador,2927408.0
127,Sento Sé,2930204.0
128,Vera Cruz,2933208.0
129,Xique-Xique,2933604.0
130,Angra dos Reis,3300100.0
131,Mangaratiba,3302601.0
132,Guaraqueçaba,4109500.0
133,Paranaguá,4118204.0
134,Imaruí,4207205.0
135,Itapiranga,4208401.0
136,Laguna,4209409.0
137,Pinheirinho do Vale,4314498.0
138,Rio Grande,4315602.0
139,São José do Norte,4318507.0
