Cidades,Geocode
alta floresta d'oeste,1100015.0
ariquemes,1100023.0
cabixi,1100031.0
cacoal,1100049.0
cerejeiras,1100056.0
colorado do oeste,1100064.0
corumbiara,1100072.0
costa marques,1100080.0
espigão d'oeste,1100098.0
guajará-mirim,1100106.0
jaru,1100114.0
ji-paraná,1100122.0
machadinho d'oeste,1100130.0
nova brasilândia d'oeste,1100148.0
ouro preto do oeste,1100155.0
pimenta bueno,1100189.0
porto velho,1100205.0
presidente médici,1100254.0
rolim de moura,1100288.0
santa luzia d'oeste,1100296.0
vilhena,1100304.0
são miguel do guaporé,1100320.0
nova mamoré,1100338.0
alvorada d'oeste,1100346.0
alto alegre dos parecis,1100379.0
alto paraíso,1100403.0
buritis,1100452.0
novo horizonte do oeste,1100502.0
cacaulândia,1100601.0
campo novo de rondônia,1100700.0
candeias do jamari,1100809.0
castanheiras,1100908.0
chupinguaia,1100924.0
cujubim,1100940.0
governador jorge teixeira,1101005.0
itapuã do oeste,1101104.0
ministro andreazza,1101203.0
mirante da serra,1101302.0
monte negro,1101401.0
nova união,1101435.0
pimenteiras do oeste,1101468.0
primavera de rondônia,1101476.0
são felipe d'oeste,1101484.0
são francisco do guaporé,1101492.0
seringueiras,1101500.0
teixeirópolis,1101559.0
theobroma,1101609.0
urupá,1101708.0
vale do anari,1101757.0
vale do paraíso,1101807.0
acrelândia,1200013.0
assis brasil,1200054.0
brasiléia,1200104.0
bujari,1200138.0
capixaba,1200179.0
cruzeiro do sul,1200203.0
feijó,1200302.0
mâncio lima,1200336.0
plácido de castro,1200385.0
rio branco,1200401.0
rodrigues alves,1200427.0
senador guiomard,1200450.0
sena madureira,1200500.0
tarauacá,1200609.0
xapuri,1200708.0
porto acre,1200807.0
apuí,1300144.0
boca do acre,1300706.0
careiro,1301100.0
guajará,1301654.0
humaitá,1301704.0
iranduba,1301852.0
itacoatiara,1301902.0
itapiranga,1302009.0
lábrea,1302405.0
manacapuru,1302504.0
manaquiri,1302553.0
manaus,1302603.0
manicoré,1302702.0
novo airão,1303205.0
novo aripuanã,1303304.0
presidente figueiredo,1303536.0
rio preto da eva,1303569.0
silves,1304005.0
amajari,1400027.0
alto alegre,1400050.0
boa vista,1400100.0
bonfim,1400159.0
cantá,1400175.0
caracaraí,1400209.0
caroebe,1400233.0
iracema,1400282.0
mucajaí,1400308.0
normandia,1400407.0
pacaraima,1400456.0
rorainópolis,1400472.0
são joão da baliza,1400506.0
são luiz,1400605.0
abaetetuba,1500107.0
abel figueiredo,1500131.0
acará,1500206.0
água azul do norte,1500347.0
alenquer,1500404.0
almeirim,1500503.0
altamira,1500602.0
ananindeua,1500800.0
anapu,1500859.0
augusto corrêa,1500909.0
aurora do pará,1500958.0
baião,1501204.0
bannach,1501253.0
barcarena,1501303.0
belém,1501402.0
belterra,1501451.0
benevides,1501501.0
bom jesus do tocantins,1501576.0
bonito,1501600.0
bragança,1501709.0
brasil novo,1501725.0
brejo grande do araguaia,1501758.0
breu branco,1501782.0
bujaru,1501907.0
cachoeira do piriá,1501956.0
cachoeira do arari,1502004.0
cametá,1502103.0
canaã dos carajás,1502152.0
capanema,1502202.0
capitão poço,1502301.0
castanhal,1502400.0
