Datas,Cidades,Estados,Geocode,UTP
2020-02-25,são paulo,SP,3550308.0,316.0
2020-02-26,são paulo,SP,3550308.0,316.0
2020-02-27,são paulo,SP,3550308.0,316.0
2020-02-28,são paulo,SP,3550308.0,316.0
2020-02-29,são paulo,SP,3550308.0,316.0
2020-03-01,são paulo,SP,3550308.0,316.0
2020-03-02,são paulo,SP,3550308.0,316.0
2020-03-03,são paulo,SP,3550308.0,316.0
2020-03-04,são paulo,SP,3550308.0,316.0
2020-03-05,são paulo,SP,3550308.0,316.0
2020-03-06,feira de santana,BA,2910800.0,107.0
2020-03-06,rio de janeiro,RJ,3304557.0,284.0
2020-03-06,são paulo,SP,3550308.0,316.0
2020-03-07,brasília,DF,5300108.0,53.0
2020-03-07,feira de santana,BA,2910800.0,107.0
2020-03-07,rio de janeiro,RJ,3304557.0,284.0
2020-03-07,são paulo,SP,3550308.0,316.0
2020-03-08,brasília,DF,5300108.0,53.0
2020-03-08,feira de santana,BA,2910800.0,107.0
2020-03-08,maceió,AL,2704302.0,203.0
2020-03-08,rio de janeiro,RJ,3304557.0,284.0
2020-03-08,são paulo,SP,3550308.0,316.0
2020-03-09,brasília,DF,5300108.0,53.0
2020-03-09,feira de santana,BA,2910800.0,107.0
2020-03-09,maceió,AL,2704302.0,203.0
2020-03-09,rio de janeiro,RJ,3304557.0,284.0
2020-03-09,são paulo,SP,3550308.0,316.0
2020-03-10,brasília,DF,5300108.0,53.0
2020-03-10,feira de santana,BA,2910800.0,107.0
2020-03-10,maceió,AL,2704302.0,203.0
2020-03-10,rio de janeiro,RJ,3304557.0,284.0
2020-03-10,são paulo,SP,3550308.0,316.0
2020-03-11,brasília,DF,5300108.0,53.0
2020-03-11,feira de santana,BA,2910800.0,107.0
2020-03-11,maceió,AL,2704302.0,203.0
2020-03-11,porto alegre,RS,4314902.0,267.0
2020-03-11,rio de janeiro,RJ,3304557.0,284.0
2020-03-11,são paulo,SP,3550308.0,316.0
2020-03-12,brasília,DF,5300108.0,53.0
2020-03-12,caxias do sul,RS,4305108.0,84.0
2020-03-12,curitiba,PR,4106902.0,100.0
2020-03-12,feira de santana,BA,2910800.0,107.0
2020-03-12,florianópolis,SC,4205407.0,110.0
2020-03-12,goiânia,GO,5208707.0,117.0
2020-03-12,maceió,AL,2704302.0,203.0
2020-03-12,natal,RN,2408102.0,222.0
2020-03-12,porto alegre,RS,4314902.0,267.0
2020-03-12,recife,PE,2611606.0,278.0
2020-03-12,rio verde,GO,5218805.0,287.0
